0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.31,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,ANALOG_AVERAGE_BLACKLINE,,,,,,,,ANALOG_AVERAGE_WHITE,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,DN1,DN2,DN3,DN4,DN5,,,,DN1 ,DN2,DN3,DN4,DN5
0.48,0.81,0.99,0.5,0.32,,,,0.465,0.82,0.99,0.5,0.32,,,,0.355,0.22,0.22,0.16,0.225
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,FINAL_AVERAGE,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,DN1,DN2,DN3,DN4,DN5,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,0.41,0.52,0.605,0.33,0.2725,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.82,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.82,1,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.48,0.81,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.83,0.99,0.5,0.32,,,,,,,,,,,,,,,,
0.46,0.82,0.99,0.5,0.33,,,,,,,,,,,,,,,,
0.47,0.81,0.99,0.51,0.32,,,,,,,,,,,,,,,,
